pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair B,W_bank_count,Non-border,0.9,629,0.9029019105837012,0.004074174724017545,-36420.74436723977,0.20517956824345177,9912.587771139533,2.080636066835057,0.030722550853624946
Pair B,W_bank_count,Non-border,0.9500000000000001,629,0.8660091699219151,0.0039655967050760445,-36467.13257893535,0.20720957213363453,9583.637640921297,2.1115041254427527,0.03012248586488242
Pair B,W_bank_count,Non-border,1.0,629,0.8299325979052443,0.003836081439887052,-36522.397499529565,0.21045461976725094,9371.481434326632,2.1472391385090637,0.029423370669379917
Pair C,W_bank_nonGeo,Non-border,0.0,621,0.957774977338123,0.007996409736697685,-40005.01078018574,1.0263652258438538,12915.506219900668,2.513835479120388,0.022654151579635746
Pair C,W_bank_nonGeo,Non-border,0.05,621,0.9771532177943982,0.004632558670722413,-39727.75192923019,0.9441148810314032,14028.525283635776,2.5083530346027554,0.022862267398240113
Pair C,W_bank_nonGeo,Non-border,0.1,621,0.9860601455603147,0.003068771381881396,-39444.5170306078,0.8658761960331599,14581.281990959258,2.502306634885153,0.023051778148058845
Pair C,W_bank_nonGeo,Non-border,0.15000000000000002,621,0.9909626857837055,0.0022432374988453,-39157.2754563106,0.7918265996356871,14983.731658995146,2.4954941159020083,0.02325135123135325
Pair C,W_bank_nonGeo,Non-border,0.2,621,0.994045332715485,0.0017517366489615842,-38867.00875662967,0.7220280901532043,15253.94210454603,2.487538998045114,0.02347432592323788
Pair C,W_bank_nonGeo,Non-border,0.25,621,0.9961626121508615,0.00143072610244667,-38574.55843073856,0.6565131439327647,15336.08492561137,2.4780660312014087,0.023730626549219782
Pair C,W_bank_nonGeo,Non-border,0.30000000000000004,621,0.9976906780319107,0.001207368723042774,-38280.932523633324,0.5953032875074299,15192.58328668392,2.4666873428752165,0.024030085573748777
Pair C,W_bank_nonGeo,Non-border,0.35000000000000003,621,0.9988133970098115,0.0010458996105847274,-37987.47544107438,0.5384091678300602,14832.174456209577,2.452964252521611,0.024383552539775546
Pair C,W_bank_nonGeo,Non-border,0.4,621,0.9996276433995579,0.0009274553832198163,-37696.02430976208,0.48582997957498997,14308.328471596076,2.4363590020731585,0.024803366159155578
Pair C,W_bank_nonGeo,Non-border,0.45,621,0.9999999512347525,0.0008789487350165727,-37409.10988284204,0.4376367834501922,13708.71140231898,2.4162609203248717,0.025301307217181095
Pair C,W_bank_nonGeo,Non-border,0.5,621,0.9999999512347525,0.0008866529478239674,-37130.23738704743,0.3937939721606636,13101.764619301226,2.3917833333416794,0.025892777327694596
