sample,estimator,kernel,cutoff_km,meat_psd_clip_pct,beta,se,ci_lower,ci_upper,ci_width,t_stat,p_value,B_state,B_spatial_band,B_overlap_band,frac_same_state_band
Contig,Spatial HAC cosine,cosine,,0.0,0.037708871910715244,0.0077844519051532834,0.02245134617661481,0.05296639764481568,0.03051505146820087,4.8441267760614055,1.2716971823610937e-06,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band,two_way_binary_band,,0.0,0.037708871910715244,0.01336392791186876,0.011515573203452475,0.06390217061797801,0.05238659741452553,2.821690760335909,0.004777121699311992,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_knn3,two_way_binary_band_knn3,,0.0,0.037708871910715244,0.010792336759937836,0.016555891861237085,0.058861851960193404,0.04230596009895632,3.4940414434336504,0.00047576715603280727,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_knn4,two_way_binary_band_knn4,,0.0,0.037708871910715244,0.010768890175838385,0.01660184716607201,0.05881589665535848,0.042214049489286476,3.501648850994946,0.0004623885999562659,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_count_knn3,two_way_binary_band_count_knn3,,0.0,0.037708871910715244,0.0107723509440196,0.01659506406043683,0.05882267976099366,0.04222761570055683,3.5005238973995527,0.00046434460354515705,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_count_knn4,two_way_binary_band_count_knn4,,0.0,0.037708871910715244,0.010793514885002072,0.016553582736111183,0.058864161085319305,0.04231057834920812,3.493660064629448,0.0004764472701248321,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_binary_knn3,two_way_binary_band_binary_knn3,,0.0,0.037708871910715244,0.0107723509440196,0.01659506406043683,0.05882267976099366,0.04222761570055683,3.5005238973995527,0.00046434460354515705,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,State + Spatial HAC binary_band_binary_knn4,two_way_binary_band_binary_knn4,,0.0,0.037708871910715244,0.010793514885002072,0.016553582736111183,0.058864161085319305,0.04231057834920812,3.493660064629448,0.0004764472701248321,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
NonContig,State clustering (Favara-Imbs),cluster,,0.0,0.02078639037508295,0.012640645723216874,-0.0039892752424221245,0.04556205599258802,0.04955133123501015,1.6444089036452398,0.10009176720291203,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC bartlett_100km,bartlett,100.0,0.0,0.02078639037508295,0.006565113634466275,0.007918767651529051,0.033654013098636845,0.025735245447107792,3.1661889698231893,0.0015445042111364678,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC bartlett_250km,bartlett,250.0,0.0,0.02078639037508295,0.006991475984813331,0.007083097444848821,0.03448968330531708,0.027406585860468256,2.9731047378600035,0.0029480383455617884,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC bartlett_500km,bartlett,500.0,0.0,0.02078639037508295,0.0074380395607620544,0.006207832835989323,0.035364947914176575,0.029157115078187253,2.794606052478875,0.005196299394428456,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band,binary_band,,0.0,0.02078639037508295,0.008341851393613318,0.004436361643600846,0.03713641910656505,0.032700057462964206,2.4918197884701483,0.012709050210422386,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_knn3,binary_band,,0.0,0.02078639037508295,0.00688480373664091,0.007292175051266767,0.03428060569889913,0.026988430647632365,3.019169633617561,0.002534685661081174,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_knn4,binary_band,,0.0,0.02078639037508295,0.0071015731213554196,0.006867307057226327,0.03470547369293957,0.02783816663571324,2.927012088712482,0.003422355780140794,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_count_knn3,binary_band,,0.0,0.02078639037508295,0.006525373120590465,0.007996659058725639,0.03357612169144026,0.02557946263271462,3.185471541771705,0.0014451831688057613,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_count_knn4,binary_band,,0.0,0.02078639037508295,0.0065455088807631675,0.007957192968787141,0.033615587781378756,0.025658394812591613,3.175672167548779,0.0014948978491216667,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_binary_knn3,binary_band,,0.0,0.02078639037508295,0.006525373120590465,0.007996659058725639,0.03357612169144026,0.02557946263271462,3.185471541771705,0.0014451831688057613,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC binary_band_binary_knn4,binary_band,,0.0,0.02078639037508295,0.0065455088807631675,0.007957192968787141,0.033615587781378756,0.025658394812591613,3.175672167548779,0.0014948978491216667,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,Spatial HAC cosine,cosine,,0.0,0.02078639037508295,0.005849853553128978,0.009320677410950154,0.03225210333921574,0.022931425928265588,3.553318076478119,0.0003804042073773961,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band,two_way_binary_band,,4.52548766105304e-10,0.02078639037508295,0.012457890352233093,-0.0036310747152939124,0.04520385546545981,0.04883493018075372,1.6685321340428207,0.09521013841091219,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_knn3,two_way_binary_band_knn3,,0.0,0.02078639037508295,0.012683520504872623,-0.00407330981446739,0.045646090564633285,0.04971940037910068,1.6388502204177027,0.10124445712151472,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_knn4,two_way_binary_band_knn4,,0.0,0.02078639037508295,0.01272687114406513,-0.0041582770672847075,0.045731057817450606,0.04988933488473531,1.6332679210613508,0.10241266044252897,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_count_knn3,two_way_binary_band_count_knn3,,0.0,0.02078639037508295,0.012649675869078975,-0.0040069743283118395,0.04557975507847774,0.04958672940678958,1.6432350196334644,0.10033431689915563,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_count_knn4,two_way_binary_band_count_knn4,,0.0,0.02078639037508295,0.012646465859521182,-0.004000682709578568,0.045573463459744466,0.049574146169323034,1.6436521164079558,0.10024808212170183,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_binary_knn3,two_way_binary_band_binary_knn3,,0.0,0.02078639037508295,0.012649675869078975,-0.0040069743283118395,0.04557975507847774,0.04958672940678958,1.6432350196334644,0.10033431689915563,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
NonContig,State + Spatial HAC binary_band_binary_knn4,two_way_binary_band_binary_knn4,,0.0,0.02078639037508295,0.012646465859521182,-0.004000682709578568,0.045573463459744466,0.049574146169323034,1.6436521164079558,0.10024808212170183,2057.149505094631,937.379251358615,1014.8575628012547,0.0685975154908845
